donor	total_primary	total_secondary	secondary_to_primary	chenodeoxycholate	lithocholate	lithocholate_chenodeoxycholate	cholate	deoxycholate	deoxycholate_cholate	secondary_to_primary_rank	butyrate	isovalerate	propionate	butyrate_rank	isovalerate_rank	propionate_rank	avg_scfa_rank
az	303492.0	13270469.0	43.72592687780897	68270.0	6150172.0	90.08601142522338	235222.0	7120297.0	30.270540170562278	54.0	292916215.0	190407911.0	0.0	63.0	67.0	1.0	43.666666666666664
ba	857436.0	38762343.14285714	45.20727277937612	311170.71428571426	8815144.142857144	28.328964578469794	546265.2857142857	29947199.0	54.82171352119078	56.0	214891355.57142857	167622495.7142857	193420.7142857143	46.0	56.0	2.0	34.666666666666664
bc	4060978.875	14865522.0	3.66057604768998	570035.5	4914777.875	8.6218803478029	3490943.375	9950744.125	2.8504455833518065	12.0	187000273.75	119493159.125	501408.875	38.0	33.0	5.0	25.333333333333332
bd	411543.0	25692542.0	62.42978740982109	214109.0	7971869.0	37.232759949371584	197434.0	17720673.0	89.75492063170478	67.0	139871506.0	169697046.0	0.0	24.0	58.0	1.0	27.666666666666668
be	332690.0	16963739.0	50.98962698007154	69332.0	8357168.0	120.53839496913402	263358.0	8606571.0	32.68011983687604	61.0	112931111.0	127620372.0	0.0	10.0	40.0	1.0	17.0
bf	10174007.5	71527143.0	7.030380408113519	2148265.0	14171796.0	6.596856533062727	8025742.5	57355347.0	7.146422527261496	20.0	424142338.0	165357297.5	2155100.5	80.0	55.0	16.0	50.333333333333336
bh	394773.125	19049443.5	48.25415483893439	93408.875	6258669.0	67.00293735472138	301364.25	12790774.5	42.44290588548575	58.0	128091520.5	134359781.875	0.0	15.0	45.0	1.0	20.333333333333332
bi	27922280.5	20054703.5	0.718233007508108	3117794.5	3307850.0	1.0609583152449593	24804486.0	16746853.5	0.6751542241189759	6.0	239841477.5	120786098.5	0.0	52.0	34.0	1.0	29.0
bj	614192.7142857143	23869123.42857143	38.862596174444086	158594.85714285713	7001599.428571428	44.14770790621926	455597.85714285716	16867524.0	37.02283436050276	46.0	128694083.85714285	162196648.57142857	756030.7142857143	16.0	52.0	6.0	24.666666666666668
bk	1103502.0	25550882.0	23.154359484622592	324233.0	10373471.0	31.993877859440587	779269.0	15177411.0	19.47647218097987	33.0	325622939.0	84696820.0	0.0	70.0	14.0	1.0	28.333333333333332
bl	256221.0	25066857.0	97.8329528024635	68844.0	6760639.0	98.20229794898611	187377.0	18306218.0	97.69725206402066	79.0	177960341.0	77268695.0	1927324.0	37.0	12.0	15.0	21.333333333333332
bm	199710.0	10186811.0	51.008016624104954	68606.5	4124316.5	60.11553569997012	131103.5	6062494.5	46.24204922065391	62.0	96834604.5	92026609.5	0.0	7.0	15.0	1.0	7.666666666666667
bn	1588719.5	39123270.5	24.625662679912974	491933.0	10695192.0	21.741155807803096	1096786.5	28428078.5	25.91942780112629	34.0	138369175.5	149677894.5	0.0	22.0	47.0	1.0	23.333333333333332
bo	518908.5	18326804.0	35.31798766063766	52813.0	9185128.5	173.91794633896959	466095.5	9141675.5	19.61330993326475	43.0	161271630.5	159181344.5	0.0	33.0	51.0	1.0	28.333333333333332
bp	19228650.0	39255837.0	2.0415285004407484	3428474.0	10718709.0	3.126378966268958	15800176.0	28537128.0	1.8061272228866312	7.0	297852440.0	163528449.0	13964654.0	65.0	53.0	24.0	47.333333333333336
bq	3857998.0	33129062.0	8.587112279477594	804021.0	7431131.0	9.24245884124917	3053977.0	25697931.0	8.414579088185667	23.0	131279489.0	82942837.5	0.0	19.0	13.0	1.0	11.0
br	993532.0	19088067.0	19.212332365741617	253612.0	10564302.0	41.65537119694652	739920.0	8523765.0	11.519846740188129	32.0	218460914.0	130045882.0	0.0	47.0	42.0	1.0	30.0
bs	539203.0	47715942.0	88.49346535534855	80675.0	9463564.0	117.30479082739386	458528.0	38252378.0	83.42430124223603	77.0	54185977.0	58458180.0	0.0	1.0	7.0	1.0	3.0
bt	581485.5	25054635.0	43.08729108464441	195353.0	10221784.0	52.32468403351881	386132.5	14832851.0	38.4138890147812	52.0	211263820.0	106905957.0	811886.0	45.0	22.0	7.0	24.666666666666668
bu	506688.0	20608139.0	40.67224603700897	213245.5	9223312.0	43.252082693421436	293442.5	11384827.0	38.79747139558857	48.0	141727414.0	133167449.5	2870599.0	25.0	43.0	18.0	28.666666666666668
bv	906056.0	31221547.0	34.45873875345453	106855.0	6893761.0	64.515099901736	799201.0	24327786.0	30.440134584416185	41.0	121637816.0	102544690.0	0.0	11.0	19.0	1.0	10.333333333333334
bw	2007436.5	14154683.5	7.051123908527119	380057.0	4742735.0	12.479009727488245	1627379.5	9411948.5	5.783499484908099	21.0	130045065.0	139027424.5	0.0	18.0	46.0	1.0	21.666666666666668
bx	584445.5	23307308.0	39.87935230915458	198474.0	7907763.0	39.84281568366637	385971.5	15399545.0	39.898140147653386	47.0	364508220.5	322678757.5	0.0	77.0	80.0	1.0	52.666666666666664
by	8457162.0	76291249.0	9.020904293899065	2049174.0	13747311.0	6.7087084844918	6407988.0	62543938.0	9.760308227793185	24.0	168684025.0	156708980.0	0.0	35.0	50.0	1.0	28.666666666666668
bz	2103050.0	16839637.0	8.007245191507572	616676.0	3499552.0	5.6748632993662795	1486374.0	13340085.0	8.974918156533954	22.0	91758851.0	125563449.0	0.0	6.0	36.0	1.0	14.333333333333334
ca	363398.0	38225881.5	105.19012625275869	177159.0	11060489.0	62.432554936525946	186239.0	27165392.5	145.86307110755536	81.0	308116065.5	202466514.5	0.0	67.0	68.0	1.0	45.333333333333336
cb	364385.5	26853533.0	73.69539402638141	111772.5	9446790.5	84.51802098011586	252613.0	17406742.5	68.9067565802235	74.0	194783266.0	163533520.5	0.0	40.0	54.0	1.0	31.666666666666668
cc	99161.0	5070889.0	51.13793729389579	19451.0	3370109.0	173.2614775589944	79710.0	1700780.0	21.337096976539957	63.0	99306961.0	107855278.0	0.0	8.0	23.0	1.0	10.666666666666666
cd	13935307.0	33893029.0	2.432169524503479	5025028.0	9771184.0	1.944503393811935	8910279.0	24121845.0	2.707193007087657	10.0	269303392.0	67049627.0	0.0	59.0	11.0	1.0	23.666666666666668
ce	6865510.5	15501276.5	2.2578476138081793	578949.5	5206054.0	8.992241983109063	6286561.0	10295222.5	1.637655707150539	8.0	223737944.5	92479084.5	0.0	49.0	16.0	1.0	22.0
cf	75797.0	6219408.0	82.05348496642347	44524.5	2764993.5	62.10049523296163	31272.5	3454414.5	110.46173155328164	75.0	66897039.5	43100703.5	0.0	2.0	2.0	1.0	1.6666666666666667
cg	467258.0	16613748.0	35.555834250028894	138382.0	9402685.0	67.94731251174285	328876.0	7211063.0	21.92638866928569	44.0	125564370.0	156431041.0	0.0	14.0	49.0	1.0	21.333333333333332
ch	18905288.0	84901604.0	4.490891860520718	5204391.0	17574867.0	3.3769305572928707	13700897.0	67326737.0	4.914038620974963	14.0	666218698.0	250239115.0	3496223.0	82.0	75.0	21.0	59.333333333333336
cj	414470.0	27891581.0	67.29457138031704	112263.0	9418981.0	83.90102705254625	302207.0	18472600.0	61.12565228469228	71.0	71187935.0	126913480.0	0.0	3.0	38.0	1.0	14.0
cl	303495.75	5044134.5	16.620115767683732	81583.25	4127755.0	50.59561858592297	221912.5	916379.5	4.129463189320115	28.0	197483622.0	115164582.75	0.0	43.0	29.0	1.0	24.333333333333332
cm	352836.5	11721252.5	33.220067935148435	120857.0	6282116.0	51.97974465690858	231979.5	5439136.5	23.446625671664954	40.0	244237419.0	184197636.0	824434.0	54.0	63.0	8.0	41.666666666666664
cn	1651096.0	51336760.0	31.092534898031367	160277.0	9555006.0	59.615578030534635	1490819.0	41781754.0	28.026040719899598	39.0	123670590.0	133487718.0	0.0	12.0	44.0	1.0	19.0
cp	289763.0	18612332.5	64.23295072179678	139246.5	9818634.0	70.51260893451541	150516.5	8793698.5	58.42348513285919	70.0	90547302.5	176311459.0	0.0	5.0	61.0	1.0	22.333333333333332
cq	392276.0	34282378.0	87.39351375052259	114619.0	12040412.0	105.04726092532651	277657.0	22241966.0	80.10590764864563	76.0	225858667.0	172643766.0	0.0	50.0	60.0	1.0	37.0
cr	164076.0	4871201.0	29.68868694995002	34999.0	4027649.0	115.07897368496242	129077.0	843552.0	6.53526189793689	36.0	251070192.0	111865335.0	0.0	55.0	26.0	1.0	27.333333333333332
cs	684111.0	27840055.5	40.69523147559387	186607.5	7453280.5	39.940948246989	497503.5	20386775.0	40.97815392253522	49.0	138788815.0	184968933.0	0.0	23.0	64.0	1.0	29.333333333333332
ct	389381.5	24312106.0	62.437753206046	98274.5	12653271.0	128.7543665956072	291107.0	11658835.0	40.04999879769294	68.0	129396149.5	115673352.5	0.0	17.0	30.0	1.0	16.0
cu	417801.0	25444851.0	60.901843222012396	102359.5	8716999.5	85.16062993664487	315441.5	16727851.5	53.02996435155171	65.0	151095763.5	209280747.5	0.0	29.0	70.0	1.0	33.333333333333336
cv	2398270.0	66090344.0	27.557507703469586	983388.0	13227996.0	13.451451512526083	1414882.0	52862348.0	37.36166549577986	35.0	265315023.0	292356090.0	0.0	58.0	78.0	1.0	45.666666666666664
cw	301866.0	12578734.333333332	41.66992749542291	75310.0	5654967.333333333	75.08919576860089	226556.0	6923767.0	30.560951817652146	51.0	124441099.0	117611698.66666667	309101.6666666667	13.0	31.0	4.0	16.0
cy	207040.66666666666	3896953.6666666665	18.822165371698315	44105.666666666664	2691382.6666666665	61.02124443571121	162935.0	1205571.0	7.3990916623193295	29.0	188535342.0	126607169.66666667	0.0	39.0	37.0	1.0	25.666666666666668
cz	296911.0	21832315.0	73.53151281023607	116298.5	9412341.5	80.93261306035761	180612.5	12419973.5	68.76585784483355	73.0	152050477.0	185183793.5	0.0	30.0	65.0	1.0	32.0
da	40576060.5	8704103.5	0.21451327193284325	10300358.0	1538062.5	0.14932126630938458	30275702.5	7166041.0	0.23669280671521992	3.0	237831563.5	47423671.5	0.0	51.0	3.0	1.0	18.333333333333332
db	1283033.0	52540515.0	40.950244459807344	583974.0	13079519.0	22.397433789860507	699059.0	39460996.0	56.44873465615921	50.0	289758537.0	190223621.0	0.0	62.0	66.0	1.0	43.0
dc	4359446.5	29884601.5	6.855136655536431	607482.5	7459963.0	12.280128234146662	3751964.0	22424638.5	5.9767733645632	19.0	219384716.5	171613832.5	0.0	48.0	59.0	1.0	36.0
dd	517710.0	23545002.0	45.479133105406504	65554.0	9385105.0	143.16601580376482	452156.0	14159897.0	31.316397438052352	57.0	159882335.0	228245047.0	0.0	32.0	73.0	1.0	35.333333333333336
de	14003512.0	32082174.5	2.291009176840781	2309449.0	9010227.5	3.9014619937482924	11694063.0	23071947.0	1.9729624340145935	9.0	337499877.5	118578553.5	1023393.5	74.0	32.0	9.0	38.333333333333336
df	14787895.0	45651744.5	3.087102288730073	4080979.5	10134909.5	2.4834502354152965	10706915.5	35516835.0	3.317186448328653	11.0	307557464.5	54956572.0	0.0	66.0	5.0	1.0	24.0
dg	333427.5	33596935.0	100.76233963905197	135520.0	11432457.5	84.35992842384888	197907.5	22164477.5	111.99412604373255	80.0	147135676.0	106614680.0	0.0	27.0	21.0	1.0	16.333333333333332
dh	36001502.0	7182365.5	0.19950182911812958	7757725.0	961551.5	0.12394761350782607	28243777.0	6220814.0	0.22025432363383976	2.0	210608739.0	54386111.0	0.0	44.0	4.0	1.0	16.333333333333332
di	455176.5	20385990.5	44.78700130608676	124907.5	8048736.0	64.43757180313432	330269.0	12337254.5	37.355169573892795	55.0	254286999.0	225292508.5	0.0	56.0	71.0	1.0	42.666666666666664
dj	451137.0	21823704.0	48.374892770932114	86766.5	6163458.5	71.03500198809448	364370.5	15660245.5	42.97890608597567	59.0	157526920.0	21400179.5	0.0	31.0	1.0	1.0	11.0
dk	284720.0	25204779.0	88.52479277887046	88730.5	8572414.5	96.61181329982362	195989.5	16632364.5	84.86354881256393	78.0	256131368.0	266276583.5	0.0	57.0	76.0	1.0	44.666666666666664
