denovo	std	H_logabun	OB_logabun	OW_logabun	delta_logabun	snr	abs_snr	H_presence	OB_presence	OW_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Escherichia/Shigella	1.32515202271	-3.73112697047	-3.58426620909	-3.72243598388	0.146860761383	0.110825595001	0.110825595001	0.696261682243	0.745945945946	0.702194357367	0.049684263703	0.049684263703	68	33
g__Guggenheimella	0.45665393888	-5.15660620636	-5.26374047743	-5.17336758894	-0.107134271073	-0.234607132341	0.234607132341	0.0654205607477	0.0162162162162	0.0532915360502	-0.0492043445314	0.0492043445314	16	34
g__Anaerococcus	0.337885425889	-5.21391557961	-5.13820175042	-5.17698778339	0.0757138291907	0.224081370162	0.224081370162	0.0654205607477	0.113513513514	0.0940438871473	0.0480929527658	0.0480929527658	19	35
g__Butyricicoccus	0.525442308707	-5.02114038957	-5.08654968248	-5.11992059704	-0.0654092929101	-0.124484252269	0.124484252269	0.198598130841	0.151351351351	0.137931034483	-0.0472467794898	0.0472467794898	59	36
g__Lactobacillus	0.909186029938	-4.68566730994	-4.51675305395	-4.6784171286	0.168914255997	0.185786242238	0.185786242238	0.380841121495	0.427027027027	0.382445141066	0.0461859055317	0.0461859055317	30	37
g__Porphyromonas	0.684478049937	-4.90311044927	-4.85636621558	-4.91278227018	0.0467442336902	0.068291793571	0.068291793571	0.268691588785	0.313513513514	0.28526645768	0.0448219247285	0.0448219247285	96	38
g__Olsenella	0.376866774719	-5.1613004224	-5.21012008138	-5.19928347391	-0.0488196589838	-0.12954089418	0.12954089418	0.0911214953271	0.0486486486486	0.0626959247649	-0.0424728466785	0.0424728466785	54	39
g__Hespellia	0.728478151509	-3.60461197432	-3.64726920154	-3.50339595697	-0.0426572272213	-0.0585566322517	0.0585566322517	0.901869158879	0.859459459459	0.931034482759	-0.042409699419	0.042409699419	104	40
g__Lachnoanaerobaculum	0.238127050542	-5.20441483407	-5.25137555374	-5.24022084919	-0.0469607196631	-0.197208673085	0.197208673085	0.0747663551402	0.0324324324324	0.0407523510972	-0.0423339227078	0.0423339227078	25	41
g__Papillibacter	0.263845547456	-5.20796167716	-5.26604598507	-5.25655910948	-0.0580843079071	-0.220145113182	0.220145113182	0.0584112149533	0.0162162162162	0.0219435736677	-0.0421949987371	0.0421949987371	21	42
g__Dialister	1.44956422832	-3.32889240023	-3.23455510158	-3.29804380276	0.0943372986462	0.0650797645271	0.0650797645271	0.75	0.789189189189	0.74921630094	0.0391891891892	0.0391891891892	99	43
g__Enterobacter	0.888836447132	-4.90380764932	-4.81073089071	-4.8372525337	0.0930767586127	0.104717531457	0.104717531457	0.214953271028	0.254054054054	0.260188087774	0.039100783026	0.039100783026	72	44
g__Salmonella	0.624836483881	-5.1186437017	-5.01684917429	-5.08898164108	0.101794527411	0.162913866326	0.162913866326	0.0911214953271	0.12972972973	0.128526645768	0.0386082344026	0.0386082344026	39	45
g__Bifidobacterium	1.03781878608	-2.97556581412	-2.7381038586	-3.01145928922	0.237461955518	0.228808688667	0.228808688667	0.918224299065	0.956756756757	0.8934169279	0.0385324576913	0.0385324576913	18	46
g__Mannheimia	0.465408315973	-5.15693709169	-5.11280515832	-5.13387872759	0.0441319333667	0.0948241186332	0.0948241186332	0.0934579439252	0.12972972973	0.103448275862	0.0362717858045	0.0362717858045	78	47
g__Weissella	0.197147019035	-5.27530676035	-5.23381910331	-5.24967372915	0.0414876570453	0.210440194574	0.210440194574	0.00700934579439	0.0432432432432	0.0188087774295	0.0362338974489	0.0362338974489	22	48
g__Haemophilus	1.04244491848	-4.37468063537	-4.42830703407	-4.42584972586	-0.0536263987024	-0.0514429086389	0.0514429086389	0.528037383178	0.491891891892	0.48275862069	-0.0361454912857	0.0361454912857	115	49
g__Alloscardovia	0.221127580303	-5.25014741513	-5.21569815345	-5.23889892228	0.0344492616801	0.155789077206	0.155789077206	0.0303738317757	0.0648648648649	0.0376175548589	0.0344910330892	0.0344910330892	41	50
g__Akkermansia	1.34373911815	-2.62643925083	-2.89893368518	-2.51396068358	-0.272494434354	-0.202788198002	0.202788198002	0.904205607477	0.87027027027	0.909090909091	-0.0339353372064	0.0339353372064	24	51
g__Sutterella	0.726830862937	-4.94764459339	-4.97912767578	-4.96439854507	-0.0314830823925	-0.0433155552384	0.0433155552384	0.217289719626	0.183783783784	0.206896551724	-0.0335059358424	0.0335059358424	123	52
g__Anaerofustis	0.454093656924	-5.06327751077	-5.01888913389	-5.03283799543	0.044388376881	0.0977515897967	0.0977515897967	0.210280373832	0.243243243243	0.244514106583	0.0329628694115	0.0329628694115	75	53
g__Solobacterium	0.439202101464	-5.07904204649	-5.0261572506	-5.06437134286	0.0528847958941	0.120411072073	0.120411072073	0.200934579439	0.232432432432	0.210031347962	0.0314978529932	0.0314978529932	63	54
g__Eggerthella	0.25171966526	-5.23490070098	-5.20438244183	-5.22361196317	0.030518259143	0.121239074076	0.121239074076	0.0443925233645	0.0756756756757	0.0564263322884	0.0312831523112	0.0312831523112	60	55
g__Turicibacter	1.03224256349	-3.96889484127	-4.02702472215	-3.99622806035	-0.0581298808801	-0.056314167751	0.056314167751	0.700934579439	0.67027027027	0.673981191223	-0.030664309169	0.030664309169	108	56
g__Cloacibacillus	0.56426451689	-5.07669017609	-5.08621522004	-5.07079017226	-0.00952504394726	-0.0168804588312	0.0168804588312	0.142523364486	0.113513513514	0.147335423197	-0.0290098509725	0.0290098509725	142	57
g__Oxalobacter	0.306094083057	-5.20022848909	-5.23927575303	-5.20860473375	-0.0390472639451	-0.127566216097	0.127566216097	0.0607476635514	0.0324324324324	0.0658307210031	-0.028315231119	0.028315231119	55	58
g__Finegoldia	0.134311488429	-5.2681482144	-5.23855006361	-5.27540325448	0.0295981507885	0.220369464554	0.220369464554	0.0163551401869	0.0432432432432	0.00940438871473	0.0268881030563	0.0268881030563	20	59
g__Peptoniphilus	0.440625257479	-5.12591117316	-5.08546332168	-5.11072101226	0.040447851479	0.0917964887225	0.0917964887225	0.135514018692	0.162162162162	0.147335423197	0.0266481434706	0.0266481434706	80	60
g__Pseudomonas	0.455000013983	-5.17136826793	-5.13673080606	-5.1186114918	0.034637461868	0.0761262874802	0.0761262874802	0.0817757009346	0.108108108108	0.109717868339	0.0263324071735	0.0263324071735	90	61
g__Methanomassiliicoccus	0.394186223282	-5.17939774432	-5.22392172087	-5.19544129078	-0.0445239765539	-0.112951630281	0.112951630281	0.0584112149533	0.0324324324324	0.0564263322884	-0.0259787825208	0.0259787825208	67	62
g__Lactococcus	0.611377926932	-4.98530990245	-4.97563927161	-4.92313488519	0.00967063083357	0.0158177624798	0.0158177624798	0.228971962617	0.254054054054	0.275862068966	0.0250820914372	0.0250820914372	143	63
g__Enterorhabdus	0.649802672022	-5.01665378613	-5.04157426063	-5.02074204465	-0.0249204745	-0.0383508341424	0.0383508341424	0.142523364486	0.167567567568	0.153605015674	0.0250442030816	0.0250442030816	127	64
g__Clostridium_XlVb	0.792199921071	-3.41546273401	-3.19398266777	-3.32929856202	0.221480066246	0.279575976158	0.279575976158	0.932242990654	0.956756756757	0.934169278997	0.0245137661026	0.0245137661026	8	65
g__Allisonella	0.609200382048	-5.05149517809	-5.08136197369	-5.09039465884	-0.0298667955969	-0.0490262259792	0.0490262259792	0.13785046729	0.113513513514	0.122257053292	-0.0243369537762	0.0243369537762	119	66
g__Dethiosulfatibacter	0.162897071501	-5.24420635846	-5.26902805294	-5.26008572215	-0.0248216944845	-0.152376554444	0.152376554444	0.0397196261682	0.0162162162162	0.0219435736677	-0.023503409952	0.023503409952	44	67
g__Flavonifractor	0.681075347748	-3.35232778629	-3.32438692761	-3.37084046818	0.0279408586823	0.0410246219816	0.0410246219816	0.957943925234	0.935135135135	0.940438871473	-0.0228087900985	0.0228087900985	124	68
g__Howardella	0.760979241817	-4.93809246355	-4.98585637993	-4.89026069294	-0.0477639163776	-0.0627663854056	0.0627663854056	0.184579439252	0.162162162162	0.200626959248	-0.0224172770902	0.0224172770902	102	69
g__Gracilibacter	0.269569561099	-5.2009523961	-5.22510820855	-5.22434836661	-0.0241558124511	-0.0896088280616	0.0896088280616	0.0817757009346	0.0594594594595	0.0532915360502	-0.0223162414751	0.0223162414751	81	70
g__Natronincola	0.219067620509	-5.22323325213	-5.23845551707	-5.23792854979	-0.0152222649408	-0.0694866037504	0.0694866037504	0.0654205607477	0.0432432432432	0.0470219435737	-0.0221773175044	0.0221773175044	94	71
g__Slackia	0.492939770906	-5.11176238689	-5.07522483748	-5.12237115308	0.0365375494107	0.0741217316339	0.0741217316339	0.123831775701	0.145945945946	0.112852664577	0.022114170245	0.022114170245	91	72
g__Brachyspira	0.288503544723	-5.23189903708	-5.26808268898	-5.2400410454	-0.0361836519018	-0.125418396285	0.125418396285	0.0327102803738	0.0108108108108	0.0156739811912	-0.021899469563	0.021899469563	58	73
g__Campylobacter	0.466068036723	-5.05825845797	-5.03632840597	-5.08867024198	0.0219300519973	0.0470533275604	0.0470533275604	0.200934579439	0.221621621622	0.17868338558	0.0206870421824	0.0206870421824	120	74
g__Barnesiella	1.04346197749	-2.76153221803	-2.6303949081	-2.59323531557	0.131137309924	0.125675216493	0.125675216493	0.904205607477	0.924324324324	0.952978056426	0.0201187168477	0.0201187168477	57	75
g__Parabacteroides	0.913964899575	-2.08791568369	-2.09074230397	-2.16621225179	-0.0028266202787	-0.0030927011311	0.0030927011311	0.969626168224	0.989189189189	0.968652037618	0.0195630209649	0.0195630209649	156	76
g__Pseudobutyrivibrio	0.374441637739	-5.18416402544	-5.17065444557	-5.19550827786	0.0135095798705	0.0360792671244	0.0360792671244	0.0724299065421	0.0918918918919	0.0595611285266	0.0194619853498	0.0194619853498	128	77
g__Parasutterella	0.919346173742	-4.66973451938	-4.62828284446	-4.72731154694	0.0414516749201	0.0450882117139	0.0450882117139	0.364485981308	0.383783783784	0.351097178683	0.0192978024754	0.0192978024754	122	78
g__Pelospora	0.183447655007	-5.23208754955	-5.25124879471	-5.26283978144	-0.0191612451588	-0.104450750041	0.104450750041	0.0514018691589	0.0324324324324	0.0219435736677	-0.0189694367264	0.0189694367264	73	79
g__Streptophyta	0.357978132439	-5.23083789228	-5.17443192109	-5.20026481093	0.0564059711895	0.157568203413	0.157568203413	0.0420560747664	0.0594594594595	0.0658307210031	0.0174033846931	0.0174033846931	40	80
g__Erysipelotrichaceae_incertae_sedis	0.922297350271	-2.92328511416	-3.04477402088	-2.95850170676	-0.121488906716	-0.131724228287	0.131724228287	0.957943925234	0.940540540541	0.962382445141	-0.0174033846931	0.0174033846931	52	81
g__Atopobium	0.382794845911	-5.14201307957	-5.0956277726	-5.11743461741	0.0463853069717	0.121175369698	0.121175369698	0.144859813084	0.162162162162	0.166144200627	0.0173023490781	0.0173023490781	61	82
g__Leuconostoc	0.314281035599	-5.21797230259	-5.19642424821	-5.18119198091	0.0215480543858	0.0685630119067	0.0685630119067	0.0584112149533	0.0756756756757	0.0815047021944	0.0172644607224	0.0172644607224	95	83
g__Saccharofermentans	0.102475719982	-5.2657837864	-5.28250882359	-5.27384975325	-0.0167250371905	-0.163209755377	0.163209755377	0.0163551401869	0.0	0.00940438871473	-0.0163551401869	0.0163551401869	38	84
g__Oribacterium	0.279766919537	-5.19847291333	-5.18374560077	-5.20118497505	0.0147273125555	0.0526413651043	0.0526413651043	0.0864485981308	0.102702702703	0.0877742946708	0.0162541045719	0.0162541045719	113	85
g__Gemmiger	0.900435145621	-2.25448550912	-2.25898740677	-2.17415712449	-0.00450189764533	-0.00499969116846	0.00499969116846	0.967289719626	0.951351351351	0.965517241379	-0.0159383682748	0.0159383682748	153	86
g__Pantoea	0.273949094614	-5.24013017265	-5.27921097282	-5.24897652598	-0.0390808001685	-0.142657161264	0.142657161264	0.0210280373832	0.00540540540541	0.025078369906	-0.0156226319778	0.0156226319778	48	87
g__Acinetobacter	0.457623949952	-5.12472050946	-5.08126731024	-5.13078172726	0.0434531992207	0.0949539446642	0.0949539446642	0.130841121495	0.145945945946	0.115987460815	0.0151048244506	0.0151048244506	77	88
g__Megasphaera	0.571306857371	-5.14738153782	-5.15477649228	-5.10322734816	-0.0073949544607	-0.0129439273576	0.0129439273576	0.0794392523364	0.0648648648649	0.109717868339	-0.0145743874716	0.0145743874716	145	89
g__Prevotella	1.4080630932	-3.54341671074	-3.67579656297	-3.45707438089	-0.132379852229	-0.0940155685271	0.0940155685271	0.78738317757	0.772972972973	0.793103448276	-0.0144102045971	0.0144102045971	79	90
g__Anaerophaga	0.848117826044	-4.97760939143	-4.93510892358	-5.05503819818	0.0425004678546	0.0501115134589	0.0501115134589	0.142523364486	0.156756756757	0.134796238245	0.0142333922708	0.0142333922708	116	91
g__Arcobacter	0.181649411229	-5.27971769082	-5.26191882444	-5.24049317581	0.017798866381	0.0979847182582	0.0979847182582	0.00233644859813	0.0162162162162	0.025078369906	0.0138797676181	0.0138797676181	74	92
g__Ethanoligenens	0.253030999284	-5.22458871059	-5.24675999044	-5.21701391734	-0.0221712798558	-0.0876227810763	0.0876227810763	0.0514018691589	0.0378378378378	0.0595611285266	-0.013564031321	0.013564031321	82	93
g__Parasporobacterium	0.109951466799	-5.26361036851	-5.27796787638	-5.27436847872	-0.0143575078722	-0.130580412342	0.130580412342	0.018691588785	0.00540540540541	0.00940438871473	-0.0132861833796	0.0132861833796	53	94
g__Collinsella	1.01119861441	-4.5907459083	-4.54101709852	-4.53143503751	0.0497288097796	0.0491780833865	0.0491780833865	0.376168224299	0.389189189189	0.388714733542	0.0130209648901	0.0130209648901	118	95
g__Moryella	0.174050355457	-5.2687171906	-5.2466712698	-5.2394991838	0.0220459208002	0.126664037785	0.126664037785	0.0140186915888	0.027027027027	0.0438871473354	0.0130083354382	0.0130083354382	56	96
g__Granulicatella	0.14284056347	-5.25655436106	-5.27328189451	-5.26604140542	-0.016727533457	-0.117106325056	0.117106325056	0.0233644859813	0.0108108108108	0.0188087774295	-0.0125536751705	0.0125536751705	66	97
g__Clostridium_XVIII	0.861107967448	-3.53643173342	-3.5413962637	-3.51144570192	-0.00496453028115	-0.005765282019	0.005765282019	0.885514018692	0.897297297297	0.8934169279	0.0117832786057	0.0117832786057	152	98
g__Bilophila	0.913666577543	-3.32787405915	-3.23163781154	-3.30425797829	0.0962362476183	0.1053297231	0.1053297231	0.892523364486	0.881081081081	0.887147335423	-0.0114422834049	0.0114422834049	71	99
g__Sneathia	0.23068730138	-5.25214721063	-5.27653791003	-5.25166383569	-0.0243906994003	-0.105730567978	0.105730567978	0.0163551401869	0.00540540540541	0.0188087774295	-0.0109497347815	0.0109497347815	70	100
g__Clostridium_IV	0.593478835232	-2.2432225723	-2.42075111557	-2.25224167089	-0.17752854327	-0.299132054475	0.299132054475	1.0	0.989189189189	1.0	-0.0108108108108	0.0108108108108	4	101
g__Ralstonia	0.110445907083	-5.26987660469	-5.26136568969	-5.26706183713	0.00851091500103	0.0770595780851	0.0770595780851	0.0163551401869	0.027027027027	0.0188087774295	0.0106718868401	0.0106718868401	89	102
g__Clostridium_sensu_stricto	0.978517747669	-2.60634078734	-2.74230815753	-2.6026090944	-0.135967370192	-0.138952380287	0.138952380287	0.957943925234	0.967567567568	0.949843260188	0.00962364233392	0.00962364233392	50	103
g__Mobiluncus	0.127318056252	-5.25745114499	-5.26749335409	-5.27718190613	-0.0100422090978	-0.0788749796646	0.0788749796646	0.0257009345794	0.0162162162162	0.00626959247649	-0.00948471836322	0.00948471836322	88	104
g__Parvimonas	0.317989263334	-5.20093280302	-5.17531474192	-5.18642898083	0.0256180611033	0.0805626606216	0.0805626606216	0.0771028037383	0.0864864864865	0.0940438871473	0.00938368274817	0.00938368274817	87	105
g__Dorea	0.54472027092	-2.09778307466	-1.98345173675	-2.02136548642	0.11433133791	0.209890000452	0.209890000452	0.990654205607	1.0	1.0	0.00934579439252	0.00934579439252	23	106
g__Scardovia	0.150155390719	-5.26229405525	-5.24774936726	-5.25962441698	0.0145446879928	0.0968642412582	0.0968642412582	0.0233644859813	0.0324324324324	0.025078369906	0.00906794645112	0.00906794645112	76	107
g__Neisseria	0.229689910011	-5.22307327795	-5.23076197013	-5.21997050341	-0.00768869217484	-0.0334742269458	0.0334742269458	0.0630841121495	0.0540540540541	0.0658307210031	-0.00903005809548	0.00903005809548	131	108
g__Enterococcus	0.593468579579	-5.08848968145	-5.12159300483	-5.07710780418	-0.0331033233772	-0.0557794035207	0.0557794035207	0.121495327103	0.113513513514	0.115987460815	-0.00798181358929	0.00798181358929	109	109
g__Clostridium_XI	0.816361496222	-2.39006960613	-2.41344227076	-2.30794476614	-0.023372664628	-0.0286302878518	0.0286302878518	0.985981308411	0.978378378378	0.990595611285	-0.00760293003284	0.00760293003284	134	110
g__Eubacterium	0.900561153777	-3.92961577122	-3.94838562431	-3.88537162399	-0.0187698530819	-0.0208423969912	0.0208423969912	0.796728971963	0.789189189189	0.796238244514	-0.00753978277343	0.00753978277343	138	111
g__Alistipes	0.621349306038	-1.55610283923	-1.64690210053	-1.57766549703	-0.0907992612941	-0.146132393505	0.146132393505	0.992990654206	1.0	1.0	0.00700934579439	0.00700934579439	46	112
g__Varibaculum	0.372101530112	-5.17104784965	-5.16412590604	-5.17710250672	0.00692194360523	0.0186022981501	0.0186022981501	0.0934579439252	0.0864864864865	0.0940438871473	-0.00697145743875	0.00697145743875	139	113
g__Abiotrophia	0.0955603846958	-5.27439410514	-5.26770506671	-5.27260863749	0.00668903843829	0.0699980275256	0.0699980275256	0.00934579439252	0.0162162162162	0.00940438871473	0.00687042182369	0.00687042182369	93	114
g__Serratia	0.243421593899	-5.2512898382	-5.24898000282	-5.24239555696	0.00230983537883	0.00948903234851	0.00948903234851	0.0210280373832	0.027027027027	0.0282131661442	0.00599898964385	0.00599898964385	148	115
g__Methanosphaera	0.325811399165	-5.21831504234	-5.23893144885	-5.23514196942	-0.0206164065139	-0.063277118501	0.063277118501	0.0327102803738	0.027027027027	0.0282131661442	-0.0056832533468	0.0056832533468	101	116
g__Succinivibrio	0.268525392318	-5.2485201428	-5.26387269415	-5.25376225968	-0.0153525513505	-0.0571735552381	0.0571735552381	0.0163551401869	0.0108108108108	0.012539184953	-0.00554432937611	0.00554432937611	106	117
g__Fusibacter	0.207340347902	-5.25977789079	-5.2718284261	-5.24123297605	-0.0120505353063	-0.0581195866034	0.0581195866034	0.0163551401869	0.0108108108108	0.0282131661442	-0.00554432937611	0.00554432937611	105	118
