denovo	std	CDI_logabun	H_logabun	nonCDI_logabun	delta_logabun	snr	abs_snr	CDI_presence	H_presence	nonCDI_presence	delta_presence	abs_delta_presence	rank_snr	rank_delta_presence
g__Xenorhabdus	0.168919744451	-4.46776880383	-4.49557208711	-4.44790276723	0.0278032832721	0.164594632573	0.164594632573	0.0215053763441	0.0	0.0337078651685	0.0215053763441	0.0215053763441	89	104
g__Lactonifactor	0.304150611248	-4.41632811567	-4.43649635182	-4.41316977307	0.0201682361536	0.0663100299907	0.0663100299907	0.0645161290323	0.0454545454545	0.0674157303371	0.0190615835777	0.0190615835777	104	105
g__Paraprevotella	0.704738533457	-4.23757795338	-4.20766086656	-4.32324860826	-0.0299170868214	-0.0424513282601	0.0424513282601	0.139784946237	0.123376623377	0.101123595506	0.0164083228599	0.0164083228599	110	106
g__Megamonas	0.208578640553	-4.47394454885	-4.45720150678	-4.48551771193	-0.0167430420726	-0.0802720836043	0.0802720836043	0.010752688172	0.025974025974	0.0112359550562	-0.015221337802	0.015221337802	102	107
g__Leuconostoc	0.222111314049	-4.47625296914	-4.48596168726	-4.42574007303	0.00970871811057	0.0437110471034	0.0437110471034	0.0215053763441	0.00649350649351	0.0337078651685	0.0150118698506	0.0150118698506	108	108
g__Finegoldia	0.389455060824	-4.36120177453	-4.42368839987	-4.38025847244	0.0624866253379	0.160446304654	0.160446304654	0.0860215053763	0.0714285714286	0.0786516853933	0.0145929339478	0.0145929339478	90	109
g__Corynebacterium	0.230382847077	-4.46438264819	-4.45864349557	-4.45071004931	-0.00573915262594	-0.0249113712186	0.0249113712186	0.0215053763441	0.0324675324675	0.0337078651685	-0.0109621561234	0.0109621561234	115	110
g__Weissella	0.270741903213	-4.44653163329	-4.45035272518	-4.49557208711	0.00382109188275	0.014113411472	0.014113411472	0.0215053763441	0.0324675324675	0.0	-0.0109621561234	0.0109621561234	117	111
g__Pyramidobacter	0.143420131515	-4.48484228999	-4.49557208711	-4.44860250892	0.0107297971154	0.0748137447791	0.0748137447791	0.010752688172	0.0	0.0337078651685	0.010752688172	0.010752688172	103	112
g__Dickeya	0.144979760417	-4.48318122413	-4.49557208711	-4.44999942637	0.0123908629716	0.0854661570413	0.0854661570413	0.010752688172	0.0	0.0337078651685	0.010752688172	0.010752688172	101	113
g__Victivallis	0.14230047471	-4.48377512482	-4.4712226062	-4.48688844894	-0.0125525186212	-0.0882113615345	0.0882113615345	0.010752688172	0.0194805194805	0.0112359550562	-0.00872783130848	0.00872783130848	100	114
g__Pandoraea	0.294851657237	-4.41041217751	-4.41890780152	-4.37052641449	0.00849562401099	0.0288132143825	0.0288132143825	0.0860215053763	0.0779220779221	0.123595505618	0.00809942745427	0.00809942745427	114	115
g__Peptoniphilus	0.389757479391	-4.38748461134	-4.42916456752	-4.40599525675	0.041679956179	0.106938181774	0.106938181774	0.0645161290323	0.0584415584416	0.0337078651685	0.0060745705907	0.0060745705907	98	116
g__Paraeggerthella	0.188787584281	-4.47811900712	-4.48930030694	-4.45052396722	0.0111812998215	0.0592268811748	0.0592268811748	0.010752688172	0.00649350649351	0.0224719101124	0.00425918167854	0.00425918167854	105	117
g__Dietzia	0.160154014017	-4.47553052683	-4.48475147738	-4.473628013	0.0092209505452	0.0575755194261	0.0575755194261	0.010752688172	0.012987012987	0.0112359550562	-0.00223432481497	0.00223432481497	106	118
g__Lactococcus	0.551255389876	-4.33113068497	-4.35173373	-4.07812585967	0.0206030450289	0.0373747729407	0.0373747729407	0.129032258065	0.12987012987	0.258426966292	-0.000837871805614	0.000837871805614	112	119
